Student [name=张0, age=14, phone=13342004158, score=93]
Student [name=张179, age=11, phone=13345008455, score=66]
Student [name=张180, age=21, phone=13310005951, score=19]
Student [name=张181, age=3, phone=13341008141, score=10]
Student [name=张182, age=19, phone=13321007823, score=11]
Student [name=张183, age=6, phone=13312003110, score=84]
Student [name=张184, age=10, phone=13322005746, score=43]
Student [name=张185, age=19, phone=13349001734, score=25]
Student [name=张186, age=27, phone=13317008115, score=13]
Student [name=张187, age=25, phone=13354006265, score=5]
Student [name=张188, age=24, phone=13318001529, score=76]
Student [name=张189, age=27, phone=13357002754, score=43]
Student [name=张190, age=20, phone=13335001533, score=58]
Student [name=张191, age=21, phone=13335003630, score=36]
Student [name=张192, age=3, phone=13337006319, score=87]
Student [name=张193, age=6, phone=13348003533, score=46]
Student [name=张194, age=9, phone=13317004916, score=36]
Student [name=张195, age=5, phone=13351008623, score=55]
Student [name=张196, age=8, phone=13333006552, score=48]
Student [name=张197, age=17, phone=13341005650, score=66]
Student [name=张198, age=2, phone=13328004261, score=86]
Student [name=张199, age=23, phone=13343004315, score=20]
Student [name=张200, age=4, phone=13324005748, score=71]
Student [name=张201, age=7, phone=13318007050, score=52]
Student [name=张202, age=14, phone=13336003310, score=79]
Student [name=张203, age=13, phone=13323002329, score=96]
Student [name=张204, age=15, phone=13359002164, score=7]
Student [name=张205, age=18, phone=13342008333, score=95]
Student [name=张206, age=3, phone=13332005013, score=76]
Student [name=张207, age=18, phone=13310008930, score=60]
Student [name=张208, age=27, phone=13340003626, score=39]
Student [name=张209, age=20, phone=13357004625, score=33]
Student [name=张210, age=11, phone=13359005738, score=98]
Student [name=张211, age=10, phone=13319005529, score=41]
Student [name=张212, age=9, phone=13338001040, score=74]
Student [name=张213, age=3, phone=13350005359, score=54]
Student [name=张214, age=23, phone=13313008028, score=46]
Student [name=张215, age=1, phone=13346005364, score=34]
Student [name=张216, age=4, phone=13349001923, score=95]
Student [name=张217, age=26, phone=13345004043, score=36]
Student [name=张218, age=3, phone=13333006811, score=24]
Student [name=张219, age=28, phone=13356004429, score=79]
Student [name=张220, age=3, phone=13358004562, score=97]
Student [name=张221, age=28, phone=13351008025, score=93]
Student [name=张222, age=29, phone=13326008717, score=2]
Student [name=张223, age=14, phone=13322002950, score=86]
Student [name=张224, age=10, phone=13319008023, score=33]
Student [name=张225, age=6, phone=13339002013, score=85]
Student [name=张226, age=1, phone=13357003958, score=62]
Student [name=张227, age=18, phone=13337005161, score=61]
Student [name=张228, age=15, phone=13310003164, score=90]
Student [name=张229, age=26, phone=13322004747, score=94]
Student [name=张230, age=27, phone=13354001568, score=89]
Student [name=张231, age=21, phone=13324001469, score=36]
Student [name=张232, age=6, phone=13353001315, score=85]
Student [name=张233, age=15, phone=13356003629, score=64]
Student [name=张234, age=19, phone=13345006024, score=82]
Student [name=张235, age=18, phone=13340001664, score=51]
Student [name=张236, age=27, phone=13323007837, score=75]
Student [name=张237, age=14, phone=13346008129, score=47]
Student [name=张238, age=21, phone=13319006616, score=38]
Student [name=张239, age=29, phone=13357005842, score=64]
Student [name=张240, age=28, phone=13352003524, score=42]
Student [name=张241, age=2, phone=13345006339, score=56]
Student [name=张242, age=3, phone=13310003269, score=6]
Student [name=张243, age=26, phone=13351006717, score=75]
Student [name=张244, age=7, phone=13332001229, score=6]
Student [name=张245, age=26, phone=13312005752, score=8]
Student [name=张246, age=28, phone=13314002525, score=37]
Student [name=张247, age=4, phone=13344006913, score=16]
Student [name=张248, age=27, phone=13313001361, score=77]
Student [name=张249, age=3, phone=13340007320, score=76]
Student [name=张250, age=17, phone=13343001428, score=7]
Student [name=张251, age=26, phone=13316004148, score=60]
Student [name=张252, age=17, phone=13353006250, score=31]
Student [name=张253, age=7, phone=13327001646, score=2]
Student [name=张254, age=5, phone=13334006445, score=97]
Student [name=张255, age=24, phone=13345003730, score=53]
Student [name=张256, age=22, phone=13338008221, score=0]
Student [name=张257, age=23, phone=13325006746, score=25]
Student [name=张258, age=14, phone=13315005015, score=74]
Student [name=张259, age=0, phone=13329006216, score=15]
Student [name=张260, age=2, phone=13356007762, score=61]
Student [name=张261, age=21, phone=13330005527, score=74]
Student [name=张262, age=23, phone=13320005058, score=28]
Student [name=张263, age=18, phone=13357007635, score=25]
Student [name=张264, age=12, phone=13337007710, score=4]
Student [name=张265, age=14, phone=13317008563, score=7]
Student [name=张266, age=3, phone=13331006751, score=98]
Student [name=张267, age=5, phone=13325001133, score=96]
Student [name=张268, age=28, phone=13356008428, score=1]
Student [name=张269, age=16, phone=13330007724, score=5]
Student [name=张270, age=8, phone=13322005540, score=67]
Student [name=张271, age=4, phone=13326002661, score=79]
Student [name=张272, age=5, phone=13342005212, score=90]
Student [name=张273, age=6, phone=13355003031, score=58]
Student [name=张274, age=14, phone=13343001663, score=38]
Student [name=张275, age=28, phone=13330002027, score=1]
Student [name=张276, age=18, phone=13339005952, score=41]
Student [name=张277, age=12, phone=13355003532, score=47]
Student [name=张278, age=17, phone=13335006557, score=79]
Student [name=张279, age=20, phone=13311005944, score=24]
Student [name=张280, age=8, phone=13320003261, score=89]
Student [name=张281, age=28, phone=13355007550, score=97]
Student [name=张282, age=19, phone=13349005449, score=34]
Student [name=张283, age=16, phone=13352004739, score=73]
Student [name=张284, age=28, phone=13338006710, score=59]
Student [name=张285, age=4, phone=13345003218, score=9]
Student [name=张286, age=5, phone=13319002436, score=58]
Student [name=张287, age=23, phone=13348005933, score=86]
Student [name=张288, age=25, phone=13325005660, score=98]
Student [name=张289, age=19, phone=13329007549, score=92]
Student [name=张290, age=6, phone=13340006320, score=89]
Student [name=张291, age=14, phone=13314003416, score=27]
Student [name=张292, age=16, phone=13351002662, score=37]
Student [name=张293, age=21, phone=13342003436, score=36]
Student [name=张294, age=5, phone=13319001535, score=51]
Student [name=张295, age=14, phone=13336008018, score=55]
Student [name=张296, age=28, phone=13341006056, score=53]
Student [name=张297, age=17, phone=13348005847, score=15]
Student [name=张298, age=2, phone=13312004234, score=17]
Student [name=张299, age=6, phone=13323005110, score=56]
Student [name=张300, age=0, phone=13325007649, score=90]
Student [name=张301, age=29, phone=13359004861, score=7]
Student [name=张302, age=17, phone=13312007466, score=77]
Student [name=张303, age=9, phone=13356001636, score=79]
Student [name=张304, age=15, phone=13357002730, score=26]
Student [name=张305, age=7, phone=13344005366, score=55]
Student [name=张306, age=26, phone=13321005852, score=51]
Student [name=张307, age=3, phone=13342008156, score=72]
Student [name=张308, age=10, phone=13355001141, score=4]
Student [name=张309, age=18, phone=13322005736, score=47]
Student [name=张310, age=15, phone=13339008564, score=60]
Student [name=张311, age=18, phone=13311001760, score=26]
Student [name=张312, age=13, phone=13350005014, score=37]
Student [name=张313, age=4, phone=13333001847, score=0]
Student [name=张314, age=17, phone=13324001469, score=20]
Student [name=张315, age=0, phone=13350007114, score=34]
Student [name=张316, age=1, phone=13345007913, score=70]
Student [name=张317, age=20, phone=13334003541, score=46]
Student [name=张318, age=17, phone=13325006060, score=43]
Student [name=张319, age=18, phone=13339003941, score=9]
Student [name=张320, age=8, phone=13333004337, score=62]
Student [name=张321, age=24, phone=13349008622, score=25]
Student [name=张322, age=23, phone=13354006623, score=76]
Student [name=张323, age=25, phone=13314002751, score=75]
Student [name=张324, age=15, phone=13339007345, score=7]
Student [name=张325, age=23, phone=13318008439, score=68]
Student [name=张326, age=3, phone=13358004226, score=41]
Student [name=张327, age=23, phone=13340003330, score=42]
Student [name=张328, age=14, phone=13342001864, score=76]
Student [name=张329, age=3, phone=13347004753, score=35]
Student [name=张330, age=23, phone=13313008542, score=47]
Student [name=张331, age=18, phone=13327006613, score=65]
Student [name=张332, age=4, phone=13328002217, score=67]
Student [name=张333, age=4, phone=13351006415, score=93]
Student [name=张334, age=7, phone=13331002835, score=57]
Student [name=张335, age=10, phone=13337008919, score=56]
Student [name=张336, age=18, phone=13356001136, score=36]
Student [name=张337, age=2, phone=13356006435, score=78]
Student [name=张338, age=29, phone=13349007519, score=71]
Student [name=张339, age=1, phone=13322007644, score=62]
Student [name=张340, age=14, phone=13348003669, score=46]
Student [name=张341, age=14, phone=13351007645, score=4]
Student [name=张342, age=23, phone=13337006664, score=12]
Student [name=张343, age=9, phone=13328004358, score=83]
Student [name=张344, age=26, phone=13312004715, score=23]
Student [name=张345, age=2, phone=13348005057, score=93]
Student [name=张346, age=9, phone=13312008448, score=11]
Student [name=张347, age=0, phone=13310004149, score=52]
Student [name=张348, age=16, phone=13350006614, score=55]
Student [name=张349, age=27, phone=13357007154, score=86]
Student [name=张350, age=9, phone=13314008559, score=41]
Student [name=张351, age=21, phone=13349008355, score=81]
Student [name=张352, age=19, phone=13346007151, score=17]
Student [name=张353, age=9, phone=13334007653, score=85]
Student [name=张354, age=6, phone=13348005146, score=63]
Student [name=张355, age=6, phone=13314001139, score=88]
Student [name=张356, age=17, phone=13350006368, score=95]
Student [name=张357, age=13, phone=13351002351, score=34]
Student [name=张358, age=12, phone=13359007742, score=74]
Student [name=张359, age=17, phone=13358008519, score=27]
Student [name=张360, age=6, phone=13310004742, score=92]
Student [name=张361, age=22, phone=13335003717, score=29]
Student [name=张362, age=17, phone=13342001636, score=17]
Student [name=张363, age=28, phone=13349001919, score=72]
Student [name=张364, age=6, phone=13317008762, score=3]
Student [name=张365, age=7, phone=13342008249, score=78]
Student [name=张366, age=3, phone=13330001328, score=1]
Student [name=张367, age=17, phone=13334003718, score=76]
Student [name=张368, age=28, phone=13344004569, score=33]
Student [name=张369, age=23, phone=13311004015, score=27]
Student [name=张370, age=2, phone=13314004754, score=51]
Student [name=张371, age=14, phone=13340003310, score=36]
Student [name=张372, age=9, phone=13325008061, score=65]
Student [name=张373, age=14, phone=13351006731, score=80]
Student [name=张374, age=2, phone=13356008635, score=59]
Student [name=张375, age=19, phone=13346008054, score=79]
Student [name=张376, age=23, phone=13313007029, score=0]
Student [name=张377, age=28, phone=13346004063, score=34]
Student [name=张378, age=14, phone=13348005946, score=72]
Student [name=张379, age=1, phone=13355001557, score=2]
Student [name=张380, age=9, phone=13326005259, score=16]
Student [name=张381, age=24, phone=13355006463, score=66]
Student [name=张382, age=22, phone=13356005954, score=60]
Student [name=张383, age=2, phone=13320006844, score=2]
Student [name=张384, age=12, phone=13324008715, score=8]
Student [name=张385, age=9, phone=13330004114, score=52]
Student [name=张386, age=2, phone=13323008437, score=20]
Student [name=张387, age=0, phone=13314006121, score=7]
Student [name=张388, age=3, phone=13319008137, score=13]
Student [name=张389, age=14, phone=13311003944, score=70]
Student [name=张390, age=6, phone=13310001450, score=32]
Student [name=张391, age=18, phone=13342007917, score=96]
Student [name=张392, age=27, phone=13336006316, score=97]
Student [name=张393, age=20, phone=13312002916, score=1]
Student [name=张394, age=14, phone=13321007748, score=15]
Student [name=张395, age=19, phone=13349005760, score=19]
Student [name=张396, age=10, phone=13347004711, score=30]
Student [name=张397, age=16, phone=13349003553, score=74]
Student [name=张398, age=22, phone=13315008559, score=13]
Student [name=张399, age=25, phone=13339004856, score=5]
Student [name=张400, age=4, phone=13321008631, score=5]
Student [name=张401, age=27, phone=13330005910, score=0]
Student [name=张402, age=0, phone=13347005714, score=95]
Student [name=张403, age=1, phone=13315008157, score=22]
Student [name=张404, age=26, phone=13312007222, score=66]
Student [name=张405, age=23, phone=13351007526, score=12]
Student [name=张406, age=4, phone=13336003026, score=59]
Student [name=张407, age=15, phone=13330002153, score=48]
Student [name=张408, age=19, phone=13354004538, score=26]
Student [name=张409, age=25, phone=13328008761, score=75]
Student [name=张410, age=0, phone=13318004640, score=40]
Student [name=张411, age=14, phone=13344006126, score=71]
Student [name=张412, age=1, phone=13330002520, score=33]
Student [name=张413, age=0, phone=13348007123, score=92]
Student [name=张414, age=26, phone=13352003865, score=61]
Student [name=张415, age=20, phone=13340002149, score=60]
Student [name=张416, age=27, phone=13332006725, score=48]
Student [name=张417, age=2, phone=13315001468, score=75]
Student [name=张418, age=24, phone=13341005743, score=72]
Student [name=张419, age=12, phone=13342002927, score=40]
Student [name=张420, age=1, phone=13330007541, score=50]
Student [name=张421, age=10, phone=13325003457, score=93]
Student [name=张422, age=1, phone=13347005720, score=29]
Student [name=张423, age=17, phone=13353001910, score=65]
Student [name=张424, age=26, phone=13344005424, score=46]
Student [name=张425, age=4, phone=13328007238, score=32]
Student [name=张426, age=8, phone=13344005955, score=79]
Student [name=张427, age=13, phone=13359008367, score=1]
Student [name=张428, age=24, phone=13334007715, score=88]
Student [name=张429, age=3, phone=13342006852, score=39]
Student [name=张430, age=28, phone=13359005665, score=86]
Student [name=张431, age=29, phone=13357008022, score=79]
Student [name=张432, age=16, phone=13335004662, score=19]
Student [name=张433, age=28, phone=13356002664, score=72]
Student [name=张434, age=29, phone=13334002925, score=97]
Student [name=张435, age=20, phone=13344005215, score=76]
Student [name=张436, age=23, phone=13316007722, score=95]
Student [name=张437, age=26, phone=13348003756, score=43]
Student [name=张438, age=12, phone=13359007740, score=48]
Student [name=张439, age=20, phone=13335007513, score=20]
Student [name=张440, age=19, phone=13324005728, score=56]
Student [name=张441, age=23, phone=13347003524, score=59]
Student [name=张442, age=28, phone=13350008967, score=31]
Student [name=张443, age=16, phone=13355005914, score=92]
Student [name=张444, age=14, phone=13323003329, score=48]
Student [name=张445, age=29, phone=13330003543, score=80]
Student [name=张446, age=26, phone=13343004550, score=47]
Student [name=张447, age=28, phone=13330006765, score=13]
Student [name=张448, age=8, phone=13356007829, score=43]
Student [name=张449, age=16, phone=13336004911, score=80]
Student [name=张450, age=3, phone=13315004951, score=2]
Student [name=张451, age=23, phone=13352005618, score=35]
Student [name=张452, age=4, phone=13346005556, score=62]
Student [name=张453, age=23, phone=13341007520, score=44]
Student [name=张454, age=5, phone=13339006833, score=9]
Student [name=张455, age=19, phone=13332004618, score=28]
Student [name=张456, age=13, phone=13350008415, score=61]
Student [name=张457, age=29, phone=13357006015, score=8]
Student [name=张458, age=0, phone=13315005860, score=6]
Student [name=张459, age=1, phone=13311004523, score=13]
Student [name=张460, age=22, phone=13327004161, score=79]
Student [name=张461, age=22, phone=13313006557, score=35]
Student [name=张462, age=25, phone=13328004823, score=70]
Student [name=张463, age=25, phone=13321006765, score=14]
Student [name=张464, age=3, phone=13347005715, score=54]
Student [name=张465, age=16, phone=13342001348, score=62]
Student [name=张466, age=0, phone=13356007667, score=69]
Student [name=张467, age=24, phone=13319001057, score=7]
Student [name=张468, age=12, phone=13359003231, score=21]
Student [name=张469, age=16, phone=13313007966, score=14]
Student [name=张470, age=28, phone=13341008310, score=89]
Student [name=张471, age=12, phone=13358003567, score=53]
Student [name=张472, age=29, phone=13320004946, score=39]
Student [name=张473, age=8, phone=13329005828, score=92]
Student [name=张474, age=12, phone=13330004659, score=30]
Student [name=张475, age=14, phone=13345003145, score=24]
Student [name=张476, age=24, phone=13344003042, score=9]
Student [name=张477, age=27, phone=13342007129, score=52]
Student [name=张478, age=21, phone=13310002955, score=32]
Student [name=张479, age=6, phone=13352001941, score=27]
Student [name=张480, age=14, phone=13358001215, score=14]
Student [name=张481, age=24, phone=13335001913, score=89]
Student [name=张482, age=6, phone=13333008567, score=80]
Student [name=张483, age=15, phone=13311001269, score=61]
Student [name=张484, age=18, phone=13350004045, score=11]
Student [name=张485, age=13, phone=13314005331, score=34]
Student [name=张486, age=17, phone=13341002054, score=17]
Student [name=张487, age=8, phone=13336001738, score=8]
Student [name=张488, age=23, phone=13313001736, score=59]
Student [name=张489, age=16, phone=13322005362, score=73]
Student [name=张490, age=18, phone=13354007838, score=7]
Student [name=张491, age=0, phone=13333002362, score=44]
Student [name=张492, age=17, phone=13343008638, score=69]
Student [name=张493, age=23, phone=13348002660, score=33]
Student [name=张494, age=29, phone=13357003414, score=90]
Student [name=张495, age=29, phone=13318001538, score=8]
Student [name=张496, age=10, phone=13354006967, score=40]
Student [name=张497, age=13, phone=13351005064, score=32]
Student [name=张498, age=16, phone=13334005911, score=64]
Student [name=张499, age=5, phone=13341003731, score=52]
Student [name=张500, age=21, phone=13332002936, score=31]
Student [name=张501, age=29, phone=13328002829, score=81]
Student [name=张502, age=0, phone=13342004056, score=32]
Student [name=张503, age=4, phone=13334001842, score=22]
Student [name=张504, age=4, phone=13319007663, score=7]
Student [name=张505, age=1, phone=13331007423, score=28]
Student [name=张506, age=24, phone=13344004912, score=61]
Student [name=张507, age=27, phone=13331003068, score=42]
Student [name=张508, age=9, phone=13315003017, score=47]
Student [name=张509, age=1, phone=13354005665, score=14]
Student [name=张510, age=28, phone=13352005034, score=91]
Student [name=张511, age=11, phone=13324008957, score=18]
Student [name=张512, age=7, phone=13344006853, score=8]
Student [name=张513, age=15, phone=13333008051, score=10]
Student [name=张514, age=7, phone=13326004650, score=40]
Student [name=张515, age=3, phone=13359001250, score=53]
Student [name=张516, age=4, phone=13323007415, score=28]
Student [name=张517, age=20, phone=13316005060, score=64]
Student [name=张518, age=0, phone=13323007215, score=66]
Student [name=张519, age=21, phone=13326001710, score=17]
Student [name=张520, age=26, phone=13352002544, score=14]
Student [name=张521, age=20, phone=13315003857, score=97]
Student [name=张522, age=13, phone=13317007668, score=45]
Student [name=张523, age=8, phone=13339004224, score=35]
Student [name=张524, age=5, phone=13355001566, score=1]
Student [name=张525, age=20, phone=13354003469, score=17]
Student [name=张526, age=28, phone=13327004567, score=33]
Student [name=张527, age=26, phone=13326008734, score=65]
Student [name=张528, age=28, phone=13331005053, score=48]
Student [name=张529, age=23, phone=13347007729, score=48]
Student [name=张530, age=24, phone=13326005429, score=35]
Student [name=张531, age=27, phone=13352001245, score=24]
Student [name=张532, age=25, phone=13312007854, score=86]
Student [name=张533, age=5, phone=13342003952, score=81]
Student [name=张534, age=7, phone=13343006714, score=84]
Student [name=张535, age=18, phone=13357005320, score=7]
Student [name=张536, age=23, phone=13336006261, score=19]
Student [name=张537, age=29, phone=13315005755, score=53]
Student [name=张538, age=18, phone=13342005169, score=64]
Student [name=张539, age=16, phone=13349005738, score=50]
Student [name=张540, age=10, phone=13313005324, score=6]
Student [name=张541, age=21, phone=13343004539, score=85]
Student [name=张542, age=6, phone=13334007629, score=88]
Student [name=张543, age=16, phone=13320001849, score=28]
Student [name=张544, age=14, phone=13350004521, score=49]
Student [name=张545, age=10, phone=13338007342, score=85]
Student [name=张546, age=27, phone=13323001057, score=48]
Student [name=张547, age=22, phone=13352001262, score=28]
Student [name=张548, age=7, phone=13317005347, score=83]
Student [name=张549, age=2, phone=13337007167, score=51]
Student [name=张550, age=13, phone=13344001934, score=39]
Student [name=张551, age=1, phone=13326007753, score=85]
Student [name=张552, age=19, phone=13359007567, score=38]
Student [name=张553, age=14, phone=13352004824, score=1]
Student [name=张554, age=14, phone=13359005545, score=97]
Student [name=张555, age=21, phone=13330002329, score=65]
Student [name=张556, age=4, phone=13327004239, score=42]
Student [name=张557, age=10, phone=13331005535, score=28]
Student [name=张558, age=27, phone=13323002860, score=22]
